1st_choice,2nd_choice,3rd_choice,4th_choice,5th_choice,Output
Python Info/Code,Math Functions,Rules and Paretheses,NA,NA,Info
Python Info/Code,Math Functions,Addition,NA,NA,Code
Python Info/Code,Math Functions,Subtraction,NA,NA,Code
Python Info/Code,Math Functions,Multiplication,NA,NA,Code
Python Info/Code,Math Functions,Division,NA,NA,Code
Python Info/Code,Math Functions,Remainder,NA,NA,Code
Python Info/Code,Math Functions,Equals,NA,NA,Code
Python Info/Code,Math Functions,Floor Division,NA,NA,Code
Python Info/Code,Math Functions,Exponent,NA,NA,Code
Python Info/Code,Math Functions,Add to var & change var value,NA,NA,+=
Python Info/Code,Data Types,Variables,Naming,NA,Info
Python Info/Code,Data Types,Variables,Identify Data Type,NA,Code
Python Info/Code,Data Types,Variables,Current Value,NA,Code
Python Info/Code,Data Types,Variables,List All Variables,NA,%whos
Python Info/Code,Data Types,Variables,Delete Variable,NA,del(var_name)
Python Info/Code,Data Types,Integers,Create,NA,Code
Python Info/Code,Data Types,Float/Decimal,Create,NA,Code
Python Info/Code,Data Types,Strings,Create,NA,Code
Python Info/Code,Data Types,Lists,Create,NA,Code
Python Info/Code,Data Types,Tuples,Create,NA,Code
Python Info/Code,Data Types,Sets,Create,NA,Code
Python Info/Code,Data Types,Dictionary,Create,NA,Code
Python Info/Code,Data Types,Booleans,Create,NA,Code
Python Info/Code,Data Types,Strings,Info,Length,Code
Python Info/Code,Data Types,Lists,Info,Length,Code
Python Info/Code,Data Types,Tuples,Info,Length,Code
Python Info/Code,Data Types,Sets,Info,Length,Code
Python Info/Code,Data Types,Dictionary,Info,Length,Code
Python Info/Code,Data Types,Integers,Properties,NA,Info
Python Info/Code,Data Types,Float/Decimal,Properties,NA,Info
Python Info/Code,Data Types,Strings,Properties,NA,Info
Python Info/Code,Data Types,Lists,Properties,NA,Info
Python Info/Code,Data Types,Tuples,Properties,NA,Info
Python Info/Code,Data Types,Sets,Properties,NA,Info
Python Info/Code,Data Types,Dictionary,Properties,NA,Info
Python Info/Code,Data Types,Booleans,Properties,NA,Info
Python Info/Code,Data Types,Integers,Manipulate,Integer to String,Code
Python Info/Code,Data Types,Integers,Manipulate,Integer to Float,Code
Python Info/Code,Data Types,Float/Decimal,Manipulate,Float to Integer,Code
Python Info/Code,Data Types,Float/Decimal,Manipulate,Float to Striing,Code
Python Info/Code,Data Types,Strings,Manipulate,Numeric String to Integer,Code
Python Info/Code,Data Types,Strings,Manipulate,Numeric String to Float,Code
Python Info/Code,Data Types,Strings,Manipulate,Slicing,Code
Python Info/Code,Data Types,Strings,Manipulate,Splitting into List,Code
Python Info/Code,Data Types,Strings,Manipulate,Make all lowercase,Code
Python Info/Code,Data Types,Strings,Manipulate,Make all uppercase,Code
Python Info/Code,Data Types,Strings,Manipulate,Replace a word/segment,Code
Python Info/Code,Data Types,Strings,Manipulate,Combine strings,Code
Python Info/Code,Data Types,Lists,Manipulate,Call specific element,Code
