1st_choice,2nd_choice,3rd_choice,4th_choice,5th_choice,output,output_2,output_3,output_4,output_5,output_6,output_7,output_8,output_9,output_10,output_11,output_12,output_13,output_14,,image_local
Python Info/Code,Math Functions,Order of Operations,None,None,no_output,,,,,,,,,,,,,,,./PNGs/Python_Info_Code-Math_Functions-Order_of_Operations.png
Python Info/Code,Math Functions,Addition,None,None,12 + 5, ,Python will output 17.,no_output, , , ,,,,,,,,,./PNGs/Python_Info_Code-Math_Functions-Addition.png
Python Info/Code,Math Functions,Subtraction,None,None,12 - 5, ,Python will output 7.,no_output, , , ,,,,,,,,,no_image
Python Info/Code,Math Functions,Multiplication,None,None,12 * 5, ,Python will output 60.,no_output, , , ,,,,,,,,,no_image
Python Info/Code,Math Functions,Division,None,None,12 / 4, ,Python will output 3.0.," Note that division output floats (decimals) as default, not integers."," Note that division output floats (decimals) as default, not integers.",no_output, ,,,,,,,,,no_image
Python Info/Code,Math Functions,Modulo/Remainder,None,None,10 % 2, ,Python will output 0., - It outputs the remainder that is left when you divide the first ,number by the second.," - If it divides evenly, the result is 0",no_output,,,,,,,,,no_image
Python Info/Code,Math Functions,Equals,None,None,2 + 2 == 4, ,Python will output True., - It determines if the equation is True or False and outputs that as ,   the value.,no_output, ,,,,,,,,,no_image
Python Info/Code,Math Functions,Floor Division,None,None,8 // 3, ,Python will output 2., - Floor Division determines the answer and rounds down to the ,   integer below that number., - 3 / 8 equals 2.667 which rounds down to 2.,no_output,,,,,,,,,no_image
Python Info/Code,Math Functions,Exponent,None,None,2 ** 3, ,Python will output 8., - 2 ** 3 is equivalent to 2 * 2 * 2.,no_output, , ,,,,,,,,,no_image
Python Info/Code,Math Functions,Take Variable & Change its Value,None,None,apple = 1,apple += 1, ,Value of apple is now 2., ,"This process can be done with other operators, including -=, *= ",and /=.,no_output,,,,,,,,no_image
Python Info/Code,Data Types,Variables,Naming Convention,None,"Generally speaking, nearly any combination of lowercase letters, ","uppercase letters, numbers and underscores can be used for a ","variable name, but the following either must or should be avoided:", - You cannot begin the name with a number. ," - You cannot use operator words such as and, or & not ",   (any word that changes color when you complete it).," - Avoid package names, module names, class names and function names  ",   (Python may not throw an error but it will lead to problems).," - Avoid using 'l' (lowercase el), 'I' (uppercase eye) or 'O' (uppercase oh) ",   as single character variable names (the 1st and 2nd can be confused for ,   each other or the number 1 and the last can be confused for the ,   number 0).,no_output,,,no_image
Python Info/Code,Data Types,Variables,Identify Data Type,None,type(variable_name), ,Python will output datatype.,no_output, , , ,,,,,,,,,no_image
Python Info/Code,Data Types,Variables,Find Current Value,None,variable_name, ,Enter the name and Python will output its current value.,no_output, , , ,,,,,,,,,no_image
