1st_choice,2nd_choice,3rd_choice,4th_choice,5th_choice,output,image_local,
Python Info/Code,Math Functions,Order of Operations,no_input,no_input,no_output,./PNGs/Python_Info_Code-Math_Functions-Order_of_Operations.png,
Python Info/Code,Math Functions,Addition,no_input,no_input,12 + 5\n\nPython will output 17.,./PNGs/Python_Info_Code-Math_Functions-Addition.png,
Python Info/Code,Math Functions,Subtraction,no_input,no_input,12 - 5\n\nPython will output 7.,no_image,
Python Info/Code,Math Functions,Multiplication,no_input,no_input,12 * 5\n\nPython will output 60.,no_image,
Python Info/Code,Math Functions,Division,no_input,no_input,"12 / 4\n\nPython will output 3.0.\nNote that division output floats (decimals) as default, not integers.",no_image,
Python Info/Code,Math Functions,Modulo/Remainder,no_input,no_input,"10 % 2\n\nPython will output 0.\n - It outputs the remainder that is left when you divide the first\n   number by the second.\n - If it divides evenly, the result is 0)",no_image,
Python Info/Code,Math Functions,Equals,no_input,no_input,2 + 2 == 4\n\nPython will output True.\n - It determines if the equation is True or False and outputs\n   that as the value.,no_image,
Python Info/Code,Math Functions,Floor Division,no_input,no_input,8 // 3\n\nPython will output 2.\n - Floor Division determines the answer and rounds down to the\n   integer below that number.\n - 3 / 8 equals 2.667 which rounds down to 2.,no_image,
Python Info/Code,Math Functions,Exponent,no_input,no_input,2 ** 3\n\nPython will output 8.\n2 ** 3 is equivalent to 2 * 2 * 2.,no_image,
Python Info/Code,Math Functions,Take Variable & Change its Value,no_input,no_input,"apple = 1\napple += 1\n\nValue of apple is now 2.\n\nThis process can be done with other operators,\n   including -=, *= and /=.",no_image,
Python Info/Code,Data Types,Variables,Naming Convention,no_input,"Generally speaking, nearly any combination of lowercase letters, \nuppercase letters, numbers and underscores can be used for a variable \nname, but the following either must or should be avoided:\n - You cannot begin the name with a number. \n - You cannot use operator words such as and, or & not (any word\n   that changes color when you complete it).\n - Avoid package names, module names, class names and function\n   names (Python may not throw an error but it will lead to problems).\n - Avoid using 'l' (lowercase el), 'I' (uppercase eye) or 'O'\n   (uppercase oh) as single character variable names (the 1st and\n   2nd can be confused for each other or the number 1 and the last\n   can be confused for the number 0).\n\nMost Python users snake case for naming variables. This is created \nusing lowercase letters and/or numbers separated by underscores,\nexamples include:\n - number_of_college_graduates \n - choice_1",no_image,
Python Info/Code,Data Types,Variables,Identify Data Type,no_input,type(variable_name)\n\nPython will output datatype.,no_image,
Python Info/Code,Data Types,Variables,Find Current Value,no_input,variable_name\n\nEnter the name and Python will output its current value.,no_image,
Python Info/Code,Data Types,Variables,List All Variables,no_input,"%whos\n\nPython will output a table with the headings: Variable, Types and Data/Info.\n - The Data/Info column will display the value if it is an integer, float or string.\n   but it will display the number of values if it is a list, set, tuple or dictionary.\n - This table is created at a point in time so its output would be different after you add a new variable",no_image,
Python Info/Code,Data Types,Variables,Delete Variable,no_input,del(variable_name)\n\nNote that Python will not output an acknowledgement of deletion.,no_image,
Python Info/Code,Data Types,Integers,Create,no_input,variable_name = 5,no_image,
Python Info/Code,Data Types,Floats/Decimals,Create,no_input,variable_name = 5.5,no_image,
Python Info/Code,Data Types,Strings,Create,no_input,variable_name = 'Hello'\n\nNote that the following:\n - You can use either single quotes or double quotes.\n - Any spaces in between the quotes are part of the string\n   (i.e. 'Hello ')\n - Returns can be added by adding a forward-slash followed by a\n   lowercase letter n.,no_image,
Python Info/Code,Data Types,Lists,Create,no_input,"variable_name = [5, 5.5, 'Hello']\n\nNote that the following:\n - Lists are made with square brackets.\n - Items are separated by commas.\n - The items have a defined ordered and allow duplicate values -\n   i.e. [5, 5.5, 5].\n - The items can be different data types (as they are in this example)\n   or all the same data type.",no_image,
Python Info/Code,Data Types,Tuples,Create,no_input,"variable_name = (5, 5.5, 'Hello')\n\nNote the following:\n - Tuples are are made with parentheses.\n - Items are separated by commas.\n - The items have a defined ordered and allow duplicate values -\n   i.e. (5, 5.5, 5).\n - The items can be different data types (as they are in this example)\n   or all the same data type.",no_image,
Python Info/Code,Data Types,Sets,Create,no_input,"variable_name = {5, 5.5, 'Hello'}\n\nNote the following:\n - Sets are are made with curly brackets.\n - Items are separated by commas.\n - The items do not have a defined ordered and duplicate values\n   are not allowed.\n - The items can be different data types (as they are in this example)\n   or all the same data type.",no_image,
